3052	0
2110	1
1539	2
2831	3
3943	4
1332	5
2323	6
1385	7
3676	8
Vince_McMahon	9
1618	10
310	11
907	12
1792	13
3578	14
1406	15
3010	16
2265	17
3880	18
5060	19
5167	20
2705	21
5229	22
1744	23
2327	24
3474	25
4508	26
5039	27
1874	28
2452	29
471	30
853	31
3250	32
3694	33
2091	34
1680	35
3791	36
4042	37
4901	38
1248	39
2245	40
4312	41
128	42
281	43
2819	44
4093	45
4818	46
4092	47
750	48
1191	49
3073	50
58	51
4961	52
3753	53
5190	54
4919	55
3404	56
1835	57
4273	58
5137	59
78	60
2640	61
5016	62
2359	63
4733	64
3381	65
2848	66
294	67
2973	68
4580	69
3960	70
1392	71
2142	72
2751	73
380	74
266	75
5083	76
3497	77
4769	78
1831	79
3962	80
5014	81
428	82
3826	83
1598	84
2822	85
3251	86
2140	87
2588	88
4199	89
2152	90
5258	91
4162	92
4152	93
3168	94
134	95
2624	96
4287	97
4807	98
389	99
1759	100
1733	101
1798	102
1478	103
3325	104
3288	105
3209	106
3944	107
2679	108
845	109
2136	110
5002	111
948	112
4979	113
1988	114
2843	115
8	116
37	117
2421	118
4290	119
2514	120
2706	121
5055	122
2302	123
2393	124
2858	125
3175	126
1780	127
3814	128
2775	129
5010	130
3235	131
167	132
2981	133
3196	134
1434	135
4852	136
2551	137
1528	138
1115	139
2088	140
2960	141
785	142
4078	143
1710	144
636	145
2304	146
4863	147
5118	148
4318	149
2117	150
1329	151
1756	152
1980	153
4205	154
2554	155
3772	156
5067	157
4224	158
3351	159
1342	160
3857	161
179	162
1165	163
292	164
3056	165
1670	166
1530	167
4609	168
2131	169
3566	170
1559	171
4424	172
2800	173
4565	174
1352	175
1799	176
1938	177
2653	178
3485	179
1564	180
1913	181
1486	182
4471	183
951	184
700	185
5063	186
3985	187
3636	188
2771	189
3492	190
1307	191
3711	192
2845	193
1103	194
1210	195
586	196
5129	197
1880	198
1995	199
3558	200
786	201
551	202
2372	203
4388	204
4053	205
1403	206
5259	207
1493	208
964	209
3313	210
3179	211
2181	212
2605	213
3094	214
645	215
218	216
1356	217
2212	218
2864	219
4402	220
1678	221
3303	222
5103	223
97	224
2251	225
3993	226
4118	227
2912	228
5024	229
4742	230
3542	231
1820	232
1929	233
3091	234
4333	235
1966	236
5101	237
3339	238
2447	239
1630	240
4692	241
1788	242
2239	243
4703	244
171	245
371	246
3118	247
2909	248
1363	249
3060	250
3137	251
113	252
3329	253
5253	254
3292	255
4026	256
541	257
961	258
3539	259
